Source Well, Destination Well,Transfer Volume
B1,Z2,5
B1,AA2,5
B1,AB2,5
B1,AC2,5
B1,AD2,5
B1,AE2,5
B1,AF2,5
B1,A3,5
B1,B3,5
B1,C3,5
B1,D3,5
B1,E3,5
B1,F3,5
B1,G3,5
B1,H3,5
B1,I3,5
B1,J3,5
B1,K3,5
B1,L3,5
B1,M3,5
B1,N3,5
B1,O3,5
B1,P3,5
B1,Q3,5
B1,R3,5
B1,S3,5
B1,T3,5
B1,U3,5
B1,Q4,5
B1,L5,5
B1,H6,5
B1,C7,5
B1,AE7,5
B1,Z8,5
B1,V9,5
B1,H10,5
A1,J10,5
A1,K10,5
B1,L10,5
A1,M10,5
A1,N10,5
A1,O10,5
B1,Q10,5
B1,M11,5
A1,X11,5
A1,Y11,5
A1,Z11,5
B1,AF11,5
A1,A12,5
A1,B12,5
B1,C12,5
A1,D12,5
A1,E12,5
A1,F12,5
B1,H12,5
B1,D13,5
A1,N13,5
A1,R13,5
B1,X13,5
B1,Y13,5
B1,Z13,5
B1,AA13,5
B1,AB13,5
B1,AC13,5
B1,AE13,5
B1,AA14,5
A1,E15,5
A1,I15,5
B1,N15,5
A1,O15,5
A1,P15,5
B1,Q15,5
A1,R15,5
A1,S15,5
A1,T15,5
B1,V15,5
B1,R16,5
B1,D17,5
A1,F17,5
A1,G17,5
B1,H17,5
A1,I17,5
A1,J17,5
A1,K17,5
B1,M17,5
B1,I18,5
A1,S18,5
A1,T18,5
A1,U18,5
A1,V18,5
A1,W18,5
B1,D19,5
B1,AF19,5
A1,L20,5
B1,AA20,5
B1,W21,5
A1,A22,5
A1,B22,5
A1,C22,5
A1,D22,5
A1,E22,5
B1,R22,5
B1,N23,5
A1,Q23,5
A1,R23,5
A1,S23,5
A1,T23,5
A1,U23,5
B1,I24,5
B1,E25,5
A1,I25,5
A1,O25,5
A1,P25,5
A1,Q25,5
A1,R25,5
A1,S25,5
B1,AF25,5
B1,AB26,5
A1,A27,5
A1,F27,5
A1,H27,5
B1,W27,5
B1,S28,5
A1,W28,5
A1,AD28,5
A1,AF28,5
A1,A29,5
B1,N29,5
B1,J30,5
A1,M30,5
A1,N30,5
A1,O30,5
A1,P30,5
A1,Q30,5
B1,E31,5
B1,A32,5
A1,K32,5
A1,L32,5
A1,M32,5
A1,N32,5
A1,O32,5
B1,AB32,5
B1,X33,5
A1,AA33,5
A1,AB33,5
A1,AC33,5
A1,AD33,5
A1,AE33,5
A1,K34,5
A1,L34,5
B1,S34,5
B1,O35,5
A1,R35,5
A1,T35,5
A1,V35,5
A1,Y35,5
A1,Z35,5
A1,AA35,5
A1,AC35,5
A1,A36,5
A1,D36,5
A1,H36,5
B1,J36,5
B1,F37,5
A1,I37,5
A1,K37,5
A1,M37,5
A1,P37,5
A1,R37,5
A1,T37,5
A1,X37,5
A1,AA37,5
A1,AD37,5
B1,A38,5
B1,AC38,5
A1,G39,5
A1,I39,5
A1,J39,5
A1,K39,5
A1,P39,5
A1,R39,5
A1,T39,5
B1,X39,5
B1,T40,5
A1,W40,5
A1,X40,5
A1,Y40,5
A1,Z40,5
A1,AA40,5
A1,H41,5
A1,I41,5
A1,J41,5
B1,O41,5
B1,K42,5
A1,N42,5
A1,P42,5
A1,U42,5
A1,AD42,5
A1,AF42,5
A1,B43,5
B1,F43,5
B1,B44,5
A1,F44,5
A1,H44,5
A1,I44,5
A1,L44,5
A1,M44,5
A1,N44,5
A1,O44,5
A1,P44,5
A1,T44,5
A1,W44,5
A1,Z44,5
B1,AC44,5
B1,Y45,5
A1,C46,5
A1,K46,5
A1,N46,5
A1,R46,5
B1,T46,5
B1,P47,5
A1,S47,5
A1,T47,5
A1,U47,5
A1,V47,5
A1,W47,5
A1,C48,5
A1,D48,5
B1,K48,5
